first_name,last_name,date_of_birth,category,weight,competition
Jesse,Tucker,10/29/1939,category 1,150,competition 3
Phyllis,Price,10/24/1930,category 2,78,competition 3
Matthew,Butler,10/16/1903,category 2,87,competition 3
Janet,Robinson,07/15/1974,category 2,106,competition 2
Donna,Carter,07/24/1914,category 3,121,competition 3
Diane,Russell,03/10/1963,category 1,77,competition 1
Alice,Hicks,03/26/1953,category 2,74,competition 2
Rebecca,Kim,11/02/1970,category 2,102,competition 2
Walter,Thompson,11/06/1973,category 1,140,competition 3
Ashley,Hall,08/04/1998,category 2,69,competition 3
Brandon,Cole,04/01/1915,category 3,108,competition 3
Louis,Weaver,04/06/1985,category 3,141,competition 2
Amanda,Stewart,05/23/1942,category 2,144,competition 3
William,Turner,08/12/1960,category 3,73,competition 2
Sandra,Perez,04/19/1966,category 3,117,competition 3
Frances,Turner,04/10/1968,category 1,70,competition 1
Rachel,Wood,04/27/1998,category 1,78,competition 2
Harry,West,10/23/1905,category 1,111,competition 3
Aaron,Howell,01/06/1983,category 3,92,competition 3
Victor,Hughes,11/22/1915,category 3,65,competition 2
Jack,Dunn,03/21/1934,category 3,53,competition 1
Albert,Ryan,01/08/1992,category 3,60,competition 3
Dorothy,Brown,04/22/1929,category 3,141,competition 3
Joshua,Day,11/28/1965,category 1,99,competition 2
Bobby,Stevens,08/29/1919,category 3,66,competition 3
Justin,Perkins,12/07/1901,category 2,122,competition 3
Justin,Stone,04/14/1905,category 3,99,competition 3
Mildred,Allen,09/22/1922,category 3,106,competition 2
Daniel,Hall,08/18/1993,category 3,92,competition 3
Robin,Perry,11/15/1941,category 3,65,competition 1
Lori,Jackson,05/03/1920,category 3,85,competition 3
Ralph,Dixon,11/29/1991,category 3,138,competition 1
Virginia,Meyer,09/09/1937,category 3,148,competition 3
Sharon,Medina,03/13/1925,category 1,51,competition 3
Irene,Perkins,10/21/1998,category 1,81,competition 3
Robert,Stewart,05/27/1926,category 3,132,competition 2
Louis,Johnston,07/14/1905,category 3,133,competition 1
Theresa,Cook,12/23/1939,category 3,150,competition 2
